event_id,game_id,home_team,away_team,home_team_id,away_team_id,home_is_d1,away_is_d1,filter_reason
401817213,401817213,Temple Owls,Boston College Eagles,218,103,True,True,KEEP_D1_VS_D1
401817242,401817242,Louisville Cardinals,Ohio Bobcats,97,195,True,True,KEEP_D1_VS_D1
401817455,401817455,SMU Mustangs,Butler Bulldogs,2567,2086,True,True,KEEP_D1_VS_D1
401817478,401817478,Syracuse Orange,Drexel Dragons,183,2182,True,True,KEEP_D1_VS_D1
401817489,401817489,Virginia Cavaliers,Marshall Thundering Herd,258,276,True,True,KEEP_D1_VS_D1
401818300,401818300,Yale Bulldogs,Stony Brook Seawolves,43,2619,True,True,KEEP_D1_VS_D1
401819884,401819884,Kansas Jayhawks,Princeton Tigers,2305,163,True,True,KEEP_D1_VS_D1
401819907,401819907,Utah Utes,Sam Houston Bearkats,254,2534,True,True,KEEP_D1_VS_D1
401820185,401820185,Stonehill Skyhawks,Loyola Maryland Greyhounds,284,2352,True,True,KEEP_D1_VS_D1
401820224,401820224,New Mexico State Aggies,New Mexico Lobos,166,167,True,True,KEEP_D1_VS_D1
401820551,401820551,Air Force Falcons,Miami (OH) RedHawks,2005,193,True,True,KEEP_D1_VS_D1
401820606,401820606,Longwood Lancers,Binghamton Bearcats,2344,2066,True,True,KEEP_D1_VS_D1
401822179,401822179,La Salle Explorers,Penn State Nittany Lions,2325,213,True,True,KEEP_D1_VS_D1
401822320,401822320,Ball State Cardinals,Little Rock Trojans,2050,2031,True,True,KEEP_D1_VS_D1
401822340,401822340,Chicago State Cougars,UIC Flames,2130,82,True,True,KEEP_D1_VS_D1
401822730,401822730,Cal State Fullerton Titans,Pacific Tigers,2239,279,True,True,KEEP_D1_VS_D1
401822761,401822761,Coppin State Eagles,South Alabama Jaguars,2154,6,True,True,KEEP_D1_VS_D1
401823011,401823011,Cleveland State Vikings,Kent State Golden Flashes,325,2309,True,True,KEEP_D1_VS_D1
401823024,401823024,Marquette Golden Eagles,Maryland Terrapins,269,120,True,True,KEEP_D1_VS_D1
401823215,401823215,Bellarmine Knights,Wofford Terriers,91,2747,True,True,KEEP_D1_VS_D1
401823227,401823227,Florida Gulf Coast Eagles,Chattanooga Mocs,526,236,True,True,KEEP_D1_VS_D1
401823324,401823324,UT Arlington Mavericks,Missouri State Bears,250,2623,True,True,KEEP_D1_VS_D1
