athlete_id,event_id,team_id,game_datetime_utc,min_l5,pts_l5,fgm_l5,fga_l5,tpm_l5,tpa_l5,ftm_l5,fta_l5,orb_l5,drb_l5,reb_l5,ast_l5,stl_l5,blk_l5,tov_l5,pf_l5,plus_minus_l5,efg_pct_l5,ts_pct_l5,fg_pct_l5,three_pct_l5,ft_pct_l5,usage_rate_l5,ast_tov_ratio_l5,pts_per_fga_l5,floor_pct_l5,pts_starter_l5,pts_bench_l5,min_starter_l5,min_bench_l5,efg_pct_starter_l5,efg_pct_bench_l5,usage_rate_starter_l5,usage_rate_bench_l5,pipeline_run_id
5060700,401827695,248,2026-02-21T20:00Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22422478712
5060700,401820820,248,2026-02-24T02:00Z,,,,,,,,,,,,,,,,,,,,,,,,,,,5.5,,23.0,,70.85,,9.0,,22422478712
5060701,401827686,2641,2026-02-18T04:10Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22422478712
5060701,401827698,2641,2026-02-21T19:30Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22422478712
5060701,401827704,2641,2026-02-25T00:00Z,,,,,,,,,,,,,,,,,,,,,,,,,,,19.5,,38.0,,76.55,,24.55,,22422478712
5060703,401830305,82,2026-02-19T01:00Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22422478712
5060703,401830311,82,2026-02-21T20:00Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22422478712
5060703,401830222,82,2026-02-25T01:00Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22422478712
5060705,401825529,264,2026-02-21T20:00Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22422478712
5060705,401825538,264,2026-02-24T23:30Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22422478712
5060706,401825521,26,2026-02-18T01:30Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22422478712
5060706,401825532,26,2026-02-22T01:00Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22422478712
5060706,401825539,26,2026-02-25T04:00Z,,,,,,,,,,,,,,,,,,,,,,,,,,,13.0,,35.0,,45.65,,16.7,,22422478712
5060709,401827689,252,2026-02-19T02:00Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22422478712
5060709,401827693,252,2026-02-22T03:38Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22422478712
5060709,401827701,252,2026-02-25T04:00Z,,,,,,,,,,,,,,,,,,,,,,,,,,,9.5,,39.0,,35.6,,19.7,,22422478712
5060712,401828430,2670,2026-02-18T01:00Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22422478712
5060712,401828437,2670,2026-02-21T00:00Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22422478712
5060718,401804934,55,2026-02-19T00:30Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22422478712
5060718,401804941,55,2026-02-21T20:30Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22422478712
5060721,401818430,2900,2026-02-21T23:00Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22422478712
5060724,401804934,2348,2026-02-19T00:30Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22422478712
5060724,401804940,2348,2026-02-21T22:00Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22422478712
5060727,401808497,149,2026-02-20T02:00Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22422478712
5060727,401808509,149,2026-02-22T02:30Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22422478712
5060730,401820750,59,2026-02-19T02:00Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22422478712
5060730,401820756,59,2026-02-21T19:15Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22422478712
5060731,401812071,232,2026-02-20T00:00Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22422478712
5060731,401812080,232,2026-02-21T21:00Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22422478712
5060732,401808244,8,2026-02-19T00:00Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22422478712
5060732,401808249,8,2026-02-21T21:00Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22422478712
5061569,401822950,46,2026-02-18T23:30Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22422478712
5061569,401822956,46,2026-02-21T23:15Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22422478712
5061569,401822957,46,2026-02-25T00:00Z,,,,,,,,,,,,,,,,,,,,,,,,,,,11.5,,33.0,,53.1,,16.65,,22422478712
5061572,401812622,108,2026-02-21T19:00Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22422478712
5061576,401825526,164,2026-02-18T23:00Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22422478712
5061576,401825530,164,2026-02-21T17:00Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22422478712
5061576,401825538,164,2026-02-24T23:30Z,,,,,,,,,,,,,,,,,,,,,,,,,,,15.0,,27.0,,71.85,,17.6,,22422478712
5061581,401827686,2641,2026-02-18T04:10Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22422478712
5061581,401827698,2641,2026-02-21T19:30Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22422478712
