as_of_date,conference,team,conf_w,conf_l,conf_pct,overall_w,overall_l,overall_pct,streak,generated_at,conference_name,pipeline_run_id
20260304,Ohio Valley Conference,UT Martin Skyhawks,0,0,0,20,10,0.667,0,2026-03-04T22:22:32Z,Ohio Valley Conference,22692149656
20260304,,Tennessee Wesleyan Bulldogs,0,0,0,0,2,0.0,0,2026-03-04T22:22:32Z,,22692149656
20260304,Southeastern Conference,Tennessee Volunteers,0,0,0,19,9,0.679,0,2026-03-04T22:22:32Z,Southeastern Conference,22692149656
20260304,Ohio Valley Conference,Tennessee State Tigers,0,0,0,20,8,0.714,0,2026-03-04T22:22:32Z,Ohio Valley Conference,22692149656
20260304,Ohio Valley Conference,Tennessee Tech Golden Eagles,0,0,0,13,16,0.448,0,2026-03-04T22:22:32Z,Ohio Valley Conference,22692149656
20260304,American Athletic Conference,UTSA Roadrunners,0,0,0,4,23,0.148,0,2026-03-04T22:22:32Z,American Athletic Conference,22692149656
20260304,Conference USA,UTEP Miners,0,0,0,8,19,0.296,0,2026-03-04T22:22:32Z,Conference USA,22692149656
20260304,,Texas Lutheran Bulldogs,0,0,0,0,2,0.0,0,2026-03-04T22:22:32Z,,22692149656
20260304,Southwestern Athletic Conference,Texas Southern Tigers,0,0,0,12,14,0.462,0,2026-03-04T22:22:32Z,Southwestern Athletic Conference,22692149656
20260304,Big 12,Texas Tech Red Raiders,0,0,0,20,8,0.714,0,2026-03-04T22:22:32Z,Big 12,22692149656
20260304,Southern Conference,The Citadel Bulldogs,0,0,0,9,20,0.31,0,2026-03-04T22:22:32Z,Southern Conference,22692149656
20260304,,Thiel Tomcats,0,0,0,0,1,0.0,0,2026-03-04T22:22:32Z,,22692149656
20260304,,Toccoa Falls Eagles,0,0,0,0,3,0.0,0,2026-03-04T22:22:32Z,,22692149656
20260304,Mid-American Conference,Toledo Rockets,0,0,0,16,12,0.571,0,2026-03-04T22:22:32Z,Mid-American Conference,22692149656
20260304,,Tougaloo Bulldogs,0,0,0,0,1,0.0,0,2026-03-04T22:22:32Z,,22692149656
20260304,Sun Belt Conference,Troy Trojans,0,0,0,18,11,0.621,0,2026-03-04T22:22:32Z,Sun Belt Conference,22692149656
20260304,American Athletic Conference,Tulane Green Wave,0,0,0,15,12,0.556,0,2026-03-04T22:22:32Z,American Athletic Conference,22692149656
20260304,,Massachusetts-Boston Beacons,0,0,0,0,1,0.0,0,2026-03-04T22:22:32Z,,22692149656
20260304,,UC Santa Cruz Banana Slugs,0,0,0,0,1,0.0,0,2026-03-04T22:22:32Z,,22692149656
20260304,Atlantic 10,VCU Rams,0,0,0,22,6,0.786,0,2026-03-04T22:22:32Z,Atlantic 10,22692149656
20260304,Missouri Valley Conference,Valparaiso Beacons,0,0,0,16,13,0.552,0,2026-03-04T22:22:32Z,Missouri Valley Conference,22692149656
20260304,Southern Conference,VMI Keydets,0,0,0,4,25,0.138,0,2026-03-04T22:22:32Z,Southern Conference,22692149656
20260304,,Voorhees Tigers,0,0,0,0,1,0.0,0,2026-03-04T22:22:32Z,,22692149656
20260304,Northeast Conference,Wagner Seahawks,0,0,0,13,14,0.481,0,2026-03-04T22:22:32Z,Northeast Conference,22692149656
20260304,,Warren Wilson Owls,0,0,0,0,1,0.0,0,2026-03-04T22:22:32Z,,22692149656
20260304,,Washington College (MD) Shoremen,0,0,0,0,2,0.0,0,2026-03-04T22:22:32Z,,22692149656
20260304,Big Sky Conference,Weber State Wildcats,0,0,0,15,14,0.517,0,2026-03-04T22:22:32Z,Big Sky Conference,22692149656
20260304,,Webster Gorloks,0,0,0,0,1,0.0,0,2026-03-04T22:22:32Z,,22692149656
20260304,ASUN Conference,West Georgia Wolves,0,0,0,13,15,0.464,0,2026-03-04T22:22:32Z,ASUN Conference,22692149656
20260304,,Montana-Western Bulldogs,0,0,0,0,1,0.0,0,2026-03-04T22:22:32Z,,22692149656
20260304,,WVU Tech Golden Bears,0,0,0,0,1,0.0,0,2026-03-04T22:22:32Z,,22692149656
